ParticleNumber,FPS
1,164.7
100,164.9
1000,165.2
10000,164.8
100000,28.6
200000,14.4
300000,9.5
400000,7.2
500000,5.7
600000,4.8
700000,4.1
800000,3.6
900000,3.2
1000000,2.9
