ParticleNumber,FPS
1,163.4
100,164.4
1000,164.1
10000,164
100000,162.5
200000,106.1
300000,78.3
400000,60.4
500000,49.1
600000,42.2
700000,36.4
800000,32
900000,28.6
1000000,26.4
